epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2343,1.32634,3.01281,1.10575,0.02976,0.96154,0.25663,0.18157,1.021,3.01668,0.90621,0.00024,0.00024,0.00024
2,26.091,0.846,0.97235,0.88397,0.95659,0.16952,0.67209,0.35626,1.38227,2.80601,1.05418,0.00047525,0.00047525,0.00047525
3,39.7631,0.71682,0.74474,0.8541,0.62865,0.31538,0.4908,0.36493,0.86293,2.42848,0.86567,0.00068476,0.00068476,0.00068476
4,52.9096,0.69948,0.6583,0.84467,0.9905,0.54615,0.95297,0.74895,0.81909,1.93258,0.84341,0.00086853,0.00086853,0.00086853
5,66.419,0.71844,0.62981,0.83804,0.96391,0.82185,0.93444,0.67489,0.89212,1.75395,0.86159,0.00102656,0.00102656,0.00102656
6,79.0108,0.72381,0.61379,0.8461,0.94821,0.84502,0.947,0.71446,0.80153,1.63343,0.83833,0.00115885,0.00115885,0.00115885
7,92.0151,0.72984,0.61323,0.85141,0.94556,0.96923,0.98127,0.81503,0.73913,1.27686,0.82124,0.0012654,0.0012654,0.0012654
8,105.751,0.6806,0.5806,0.83818,0.94359,0.96154,0.96288,0.82796,0.53248,0.87841,0.79021,0.001307,0.001307,0.001307
9,119.043,0.63283,0.56534,0.83308,0.95848,0.96154,0.98778,0.88491,0.49407,0.75354,0.78761,0.001208,0.001208,0.001208
10,132.824,0.57476,0.52326,0.82353,0.98437,0.96875,0.9935,0.90969,0.48131,0.62069,0.79822,0.001109,0.001109,0.001109
11,144.557,0.49568,0.52893,0.81836,0.98896,0.97692,0.99262,0.88958,0.44698,0.67668,0.79138,0.00101,0.00101,0.00101
12,155.671,0.46115,0.51096,0.81088,1,0.96079,0.9941,0.91052,0.43414,0.5639,0.78513,0.000911,0.000911,0.000911
13,166.994,0.44459,0.46817,0.80844,0.99909,0.95385,0.99305,0.90909,0.42813,0.51532,0.78517,0.000812,0.000812,0.000812
14,178.106,0.42512,0.44887,0.80422,0.99701,0.95385,0.99308,0.91944,0.40676,0.53015,0.7793,0.000713,0.000713,0.000713
15,189.338,0.41329,0.43377,0.80075,0.98231,0.96923,0.99315,0.92297,0.4026,0.47918,0.78702,0.000614,0.000614,0.000614
16,200.751,0.3915,0.41132,0.79748,0.99094,0.97692,0.99383,0.93556,0.36431,0.43685,0.78218,0.000515,0.000515,0.000515
17,212.14,0.38209,0.40537,0.80166,0.99104,0.97692,0.9941,0.93598,0.35216,0.42707,0.7798,0.000416,0.000416,0.000416
18,223.37,0.36004,0.39314,0.79798,0.99097,0.97692,0.99387,0.93677,0.34245,0.41129,0.77874,0.000317,0.000317,0.000317
19,235.198,0.35609,0.38445,0.80129,0.98682,0.97692,0.99373,0.93973,0.32532,0.41439,0.77426,0.000218,0.000218,0.000218
20,247.075,0.35174,0.37405,0.79573,0.98303,0.97692,0.99373,0.93725,0.32978,0.39396,0.77386,0.000119,0.000119,0.000119
