epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2313,1.09355,3.60568,1.05212,0.01756,0.89773,0.03869,0.0225,1.20412,3.0632,1.04927,6e-05,6e-05,6e-05
2,30.1253,1.05011,3.08205,0.94598,0.01889,0.96591,0.40486,0.20968,1.11901,2.90534,0.95294,0.000138614,0.000138614,0.000138614
3,43.8165,0.92086,1.99395,0.90498,0.01822,0.93182,0.76423,0.5242,0.9285,2.72975,0.88885,0.000215644,0.000215644,0.000215644
4,57.8316,0.87027,1.26566,0.89374,0.01778,0.90909,0.82914,0.53407,0.85189,2.53459,0.86751,0.00029109,0.00029109,0.00029109
5,71.5891,0.76109,1.0788,0.89027,0.01778,0.90909,0.81761,0.62756,0.88288,2.56649,0.88965,0.000364952,0.000364952,0.000364952
6,85.1338,0.77193,1.06912,0.87581,0.01778,0.90909,0.70357,0.55734,0.8496,2.6231,0.88494,0.00043723,0.00043723,0.00043723
7,98.8657,0.74613,1.04751,0.89058,0.018,0.92045,0.568,0.46242,0.77437,2.61194,0.88319,0.000507924,0.000507924,0.000507924
8,112.555,0.72204,0.90453,0.8745,0.01844,0.94318,0.79723,0.64687,0.76419,2.3914,0.88739,0.000577034,0.000577034,0.000577034
9,126.157,0.66671,0.84217,0.86188,0.3008,0.84091,0.83525,0.66588,0.7821,2.22966,0.88694,0.00064456,0.00064456,0.00064456
10,139.808,0.67474,0.87852,0.87556,0.01844,0.94318,0.82222,0.64889,0.81012,2.33896,0.89397,0.000710502,0.000710502,0.000710502
11,153.209,0.69249,0.91334,0.85037,0.18099,0.86364,0.85271,0.67435,0.80459,2.2861,0.88285,0.00077486,0.00077486,0.00077486
12,166.001,0.70748,0.86605,0.86895,1,0.36768,0.88107,0.7118,0.7503,2.11858,0.88341,0.000837634,0.000837634,0.000837634
13,178.753,0.6797,0.96966,0.88323,1,0.47712,0.87309,0.70709,0.79416,2.07881,0.89676,0.000898824,0.000898824,0.000898824
14,190.986,0.70706,0.86602,0.87911,1,0.47844,0.8601,0.69929,0.76835,2.14849,0.88289,0.00095843,0.00095843,0.00095843
15,203.529,0.69655,0.92238,0.88136,0.97874,0.52304,0.85253,0.69369,0.76268,2.02902,0.88666,0.00101645,0.00101645,0.00101645
16,216.147,0.68532,0.78327,0.86575,0.98388,0.69356,0.85062,0.68361,0.83146,1.91196,0.9036,0.00107289,0.00107289,0.00107289
